id;timeset;commclass
45;<[2001.0, 2002.0, 2003.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 5]; [2002.0, 0]; [2003.0, 1]; [2004.0, 5]; [2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2008.0, 5]; [2009.0, 5]>"
46;<[2001.0, 2002.0, 2003.0, 2005.0, 2006.0, 2008.0, 2009.0]>;"<[2001.0, 1]; [2002.0, 0]; [2003.0, 1]; [2005.0, 5]; [2006.0, 0]; [2008.0, 1]; [2009.0, 5]>"
47;<[2001.0]>;"<[2001.0, 1]>"
48;<[2001.0, 2002.0, 2003.0, 2004.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 1]; [2002.0, 1]; [2003.0, 1]; [2004.0, 5]; [2007.0, 1]; [2008.0, 5]; [2009.0, 5]>"
49;<[2001.0, 2002.0, 2003.0, 2004.0, 2005.0, 2006.0, 2008.0]>;"<[2001.0, 1]; [2002.0, 0]; [2003.0, 1]; [2004.0, 1]; [2005.0, 1]; [2006.0, 1]; [2008.0, 1]>"
50;<[2001.0, 2002.0, 2003.0, 2004.0, 2006.0]>;"<[2001.0, 1]; [2002.0, 0]; [2003.0, 3]; [2004.0, 1]; [2006.0, 1]>"
51;<[2001.0, 2002.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 1]; [2002.0, 4]; [2004.0, 1]; [2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]>"
52;<[2001.0, 2005.0]>;"<[2001.0, 1]; [2005.0, 1]>"
53;<[2001.0]>;"<[2001.0, 1]>"
54;<[2001.0]>;"<[2001.0, 1]>"
55;<[2001.0, 2004.0]>;"<[2001.0, 1]; [2004.0, 0]>"
56;<[2001.0, 2002.0, 2003.0, 2004.0, 2006.0]>;"<[2001.0, 5]; [2002.0, 4]; [2003.0, 1]; [2004.0, 1]; [2006.0, 1]>"
57;<[2001.0, 2002.0, 2004.0, 2005.0, 2006.0, 2007.0]>;"<[2001.0, 2]; [2002.0, 4]; [2004.0, 5]; [2005.0, 3]; [2006.0, 1]; [2007.0, 1]>"
58;<[2001.0, 2003.0]>;"<[2001.0, 5]; [2003.0, 1]>"
59;<[2001.0, 2004.0, 2006.0]>;"<[2001.0, 5]; [2004.0, 5]; [2006.0, 0]>"
60;<[2001.0]>;"<[2001.0, 1]>"
61;<[2001.0]>;"<[2001.0, 1]>"
