id;my_node_type
1000272;bc_2001
1000273;bc_2001
1000274;bc_2001
1000275;bc_2001
1000276;bc_2001
1000277;bc_2001
1000278;bc_2001
1000279;bc_2001
1000280;bc_2001
1000281;bc_2001
1000282;bc_2001
1000283;bc_2001
1000284;bc_2001
1000285;bc_2001
1000286;bc_2001
1000287;bc_2001
1000288;bc_2001
1000289;bc_2001
1000290;bc_2001
1000291;bc_2001
1000292;bc_2001
1000293;bc_2001
1000294;bc_2001
1000295;bc_2001
1000296;bc_2001
1000297;bc_2001
1000298;bc_2001
1000299;bc_2001
1000300;bc_2001
1000301;bc_2001
1000302;bc_2001
1000303;bc_2001
1000304;bc_2001
1000305;bc_2001
1000306;bc_2001
1000307;bc_2001
1000308;bc_2001
1000309;bc_2001
1000310;bc_2001
1000311;bc_2001
1000312;bc_2001
1000313;bc_2001
1000314;bc_2001
1000315;bc_2001
1000316;bc_2001
1000317;bc_2001
1000318;bc_2001
1000319;bc_2001
1000320;bc_2001
1000321;bc_2001
1000322;bc_2001
1000323;bc_2001
1000324;bc_2001
1000325;bc_2001
1000326;bc_2001
1000327;bc_2001
1000328;bc_2001
1000329;bc_2001
1000330;bc_2001
1000331;bc_2001
1000332;bc_2001
1000333;bc_2001
1000334;bc_2001
1000335;bc_2001
1000336;bc_2001
1000337;bc_2001
1000338;bc_2001
1000339;bc_2001
1000340;bc_2001
1000341;bc_2001
1000342;bc_2001
1000343;bc_2001
1000344;bc_2001
1000345;bc_2001
1000346;bc_2001
1000347;bc_2001
1000348;bc_2001
1000349;bc_2001
1000350;bc_2001
1000351;bc_2001
1000352;bc_2001
1000353;bc_2001
1000354;bc_2001
1000355;bc_2001
1000356;bc_2001
1000357;bc_2001
1000358;bc_2001
1000359;bc_2001
1000360;bc_2001
1000361;bc_2001
1000362;bc_2001
1000363;bc_2001
1000364;bc_2001
1000365;bc_2001
1000366;bc_2001
1000367;bc_2001
1000368;bc_2001
1000369;bc_2001
1000370;bc_2001
1000371;bc_2001
1000372;bc_2001
1000373;bc_2001
1000374;bc_2001
1000375;bc_2001
1000376;bc_2001
1000377;bc_2001
1000378;bc_2001
1000379;bc_2001
1000380;bc_2001
1000381;bc_2001
1000382;bc_2001
1000383;bc_2001
1000384;bc_2001
1000385;bc_2001
1000386;bc_2001
1000387;bc_2001
1000388;bc_2001
1000389;bc_2001
1000390;bc_2001
1000391;bc_2001
1000392;bc_2001
1000393;bc_2001
1000394;bc_2001
1000395;bc_2001
1000396;bc_2001
1000397;bc_2001
1000398;bc_2001
1000399;bc_2001
1000400;bc_2001
1000401;bc_2001
1000402;bc_2001
1000403;bc_2001
1000404;bc_2001
1000405;bc_2001
1000406;bc_2001
1000407;bc_2001
1000408;bc_2001
1000409;bc_2001
1000410;bc_2001
1000411;bc_2001
1000412;bc_2001
1000413;bc_2001
1000414;bc_2001
1000415;bc_2001
1000416;bc_2001
1000417;bc_2001
1000418;bc_2001
1000419;bc_2001
1000420;bc_2001
1000421;bc_2001
1000422;bc_2001
1000423;bc_2001
1000424;bc_2001
1000425;bc_2001
1000426;bc_2001
1000427;bc_2001
1000428;bc_2001
1000429;bc_2001
1000430;bc_2001
1000431;bc_2001
1000432;bc_2001
1000433;bc_2001
1000434;bc_2001
1000435;bc_2001
1000436;bc_2001
1000437;bc_2001
1000438;bc_2001
1000439;bc_2001
1000440;bc_2001
1000441;bc_2001
1000442;bc_2001
1000443;bc_2001
1000444;bc_2001
1000445;bc_2001
1000446;bc_2001
1000447;bc_2001
1000448;bc_2001
1000449;bc_2001
1000450;bc_2001
1000451;bc_2001
1000452;bc_2001
1000453;bc_2001
1000454;bc_2001
1000455;bc_2001
1000456;bc_2001
1000457;bc_2001
1000458;bc_2001
1000459;bc_2001
1000460;bc_2001
1000461;bc_2001
1000462;bc_2001
1000463;bc_2001
1000464;bc_2001
1000465;bc_2001
1000466;bc_2001
1000467;bc_2001
1000468;bc_2001
1000469;bc_2001
1000470;bc_2001
1000471;bc_2001
1000472;bc_2001
1000473;bc_2001
1000474;bc_2001
1000475;bc_2001
1000476;bc_2001
1000477;bc_2001
1000478;bc_2001
1000479;bc_2001
1000480;bc_2001
1000481;bc_2001
1000482;bc_2001
1000483;bc_2001
1000484;bc_2001
1000485;bc_2001
1000486;bc_2001
1000487;bc_2001
1000488;bc_2001
1000489;bc_2001
1000490;bc_2001
1000491;bc_2001
1000492;bc_2001
1000493;bc_2001
1000494;bc_2001
1000495;bc_2001
1000496;bc_2001
1000497;bc_2001
1000498;bc_2001
1000499;bc_2001
1000500;bc_2001
1000501;bc_2001
1000502;bc_2001
1000503;bc_2001
1000504;bc_2001
1000505;bc_2001
1000506;bc_2001
1000507;bc_2001
1000508;bc_2001
1000509;bc_2001
1000510;bc_2001
1000511;bc_2001
1000512;bc_2001
1000513;bc_2001
1000514;bc_2001
1000515;bc_2001
1000516;bc_2001
