id;my_node_type
1000558;bc2001
1000559;bc2001
1000560;bc2001
1000561;bc2001
1000562;bc2001
1000563;bc2001
1000564;bc2001
1000565;bc2001
1000566;bc2001
1000567;bc2001
1000568;bc2001
1000569;bc2001
1000570;bc2001
1000571;bc2001
1000572;bc2001
1000573;bc2001
1000574;bc2001
1000575;bc2001
1000576;bc2001
1000577;bc2001
1000578;bc2001
1000579;bc2001
1000580;bc2001
1000581;bc2001
1000582;bc2001
1000583;bc2001
1000584;bc2001
1000585;bc2001
1000586;bc2001
1000587;bc2001
1000588;bc2001
1000589;bc2001
1000590;bc2001
1000591;bc2001
1000592;bc2001
1000593;bc2001
1000594;bc2001
1000595;bc2001
1000596;bc2001
1000597;bc2001
1000598;bc2001
1000599;bc2001
1000600;bc2001
1000601;bc2001
1000602;bc2001
1000603;bc2001
1000604;bc2001
1000605;bc2001
1000606;bc2001
1000607;bc2001
1000608;bc2001
1000609;bc2001
1000610;bc2001
1000611;bc2001
1000612;bc2001
1000613;bc2001
1000614;bc2001
1000615;bc2001
1000616;bc2001
1000617;bc2001
1000618;bc2001
1000619;bc2001
1000620;bc2001
1000621;bc2001
1000622;bc2001
1000623;bc2001
1000624;bc2001
1000625;bc2001
1000626;bc2001
1000627;bc2001
1000628;bc2001
1000629;bc2001
1000630;bc2001
1000631;bc2001
1000632;bc2001
1000633;bc2001
1000634;bc2001
1000635;bc2001
1000636;bc2001
1000637;bc2001
1000638;bc2001
1000639;bc2001
1000640;bc2001
1000641;bc2001
1000642;bc2001
1000643;bc2001
1000644;bc2001
1000645;bc2001
1000646;bc2001
1000647;bc2001
1000648;bc2001
1000649;bc2001
1000650;bc2001
1000651;bc2001
1000652;bc2001
1000653;bc2001
1000654;bc2001
1000655;bc2001
1000656;bc2001
1000657;bc2001
1000658;bc2001
1000659;bc2001
1000660;bc2001
1000661;bc2001
1000662;bc2001
1000663;bc2001
1000664;bc2001
1000665;bc2001
1000666;bc2001
1000667;bc2001
1000668;bc2001
1000669;bc2001
1000670;bc2001
1000671;bc2001
1000672;bc2001
1000673;bc2001
1000674;bc2001
1000675;bc2001
1000676;bc2001
1000677;bc2001
1000678;bc2001
1000679;bc2001
1000680;bc2001
1000681;bc2001
1000682;bc2001
1000683;bc2001
1000684;bc2001
1000685;bc2001
1000686;bc2001
1000687;bc2001
1000688;bc2001
1000689;bc2001
1000690;bc2001
1000691;bc2001
1000692;bc2001
1000693;bc2001
1000694;bc2001
1000695;bc2001
1000696;bc2001
1000697;bc2001
1000698;bc2001
1000699;bc2001
1000700;bc2001
1000701;bc2001
1000702;bc2001
1000703;bc2001
1000704;bc2001
1000705;bc2001
1000706;bc2001
1000707;bc2001
1000708;bc2001
1000709;bc2001
1000710;bc2001
1000711;bc2001
1000712;bc2001
1000713;bc2001
1000714;bc2001
1000715;bc2001
1000716;bc2001
1000717;bc2001
1000718;bc2001
1000719;bc2001
1000720;bc2001
1000721;bc2001
1000722;bc2001
1000723;bc2001
1000724;bc2001
1000725;bc2001
1000726;bc2001
1000727;bc2001
1000728;bc2001
1000729;bc2001
1000730;bc2001
1000731;bc2001
1000732;bc2001
1000733;bc2001
1000734;bc2001
1000735;bc2001
1000736;bc2001
1000737;bc2001
1000738;bc2001
1000739;bc2001
1000740;bc2001
1000741;bc2001
1000742;bc2001
1000743;bc2001
1000744;bc2001
1000745;bc2001
1000746;bc2001
1000747;bc2001
1000748;bc2001
1000749;bc2001
1000750;bc2001
1000751;bc2001
1000752;bc2001
1000753;bc2001
1000754;bc2001
1000755;bc2001
1000756;bc2001
1000757;bc2001
1000758;bc2001
1000759;bc2001
1000760;bc2001
1000761;bc2001
1000762;bc2001
1000763;bc2001
1000764;bc2001
1000765;bc2001
1000766;bc2001
1000767;bc2001
1000768;bc2001
1000769;bc2001
1000770;bc2001
1000771;bc2001
1000772;bc2001
1000773;bc2001
1000774;bc2001
1000775;bc2001
1000776;bc2001
1000777;bc2001
1000778;bc2001
1000779;bc2001
1000780;bc2001
1000781;bc2001
1000782;bc2001
1000783;bc2001
1000784;bc2001
1000785;bc2001
1000786;bc2001
1000787;bc2001
1000788;bc2001
1000789;bc2001
1000790;bc2001
1000791;bc2001
1000792;bc2001
1000793;bc2001
1000794;bc2001
1000795;bc2001
1000796;bc2001
1000797;bc2001
1000798;bc2001
1000799;bc2001
1000800;bc2001
1000801;bc2001
1000802;bc2001
1000803;bc2001
1000804;bc2001
1000805;bc2001
1000806;bc2001
1000807;bc2001
1000808;bc2001
1000809;bc2001
1000810;bc2001
1000811;bc2001
1000812;bc2001
1000813;bc2001
1000814;bc2001
1000815;bc2001
1000816;bc2001
1000817;bc2001
1000818;bc2001
1000819;bc2001
1000820;bc2001
1000821;bc2001
1000822;bc2001
1000823;bc2001
1000824;bc2001
1000825;bc2001
1000826;bc2001
1000827;bc2001
1000828;bc2001
1000829;bc2001
1000830;bc2001
1000831;bc2001
1000832;bc2001
1000833;bc2001
1000834;bc2001
1000835;bc2001
1000836;bc2001
1000837;bc2001
1000838;bc2001
1000839;bc2001
1000840;bc2001
1000841;bc2001
1000842;bc2001
1000843;bc2001
1000844;bc2001
1000845;bc2001
1000846;bc2001
1000847;bc2001
1000848;bc2001
1000849;bc2001
1000850;bc2001
1000851;bc2001
1000852;bc2001
1000853;bc2001
1000854;bc2001
1000855;bc2001
1000856;bc2001
1000857;bc2001
1000858;bc2001
1000859;bc2001
1000860;bc2001
1000861;bc2001
1000862;bc2001
1000863;bc2001
1000864;bc2001
1000865;bc2001
1000866;bc2001
1000867;bc2001
1000868;bc2001
1000869;bc2001
1000870;bc2001
1000871;bc2001
1000872;bc2001
1000873;bc2001
1000874;bc2001
1000875;bc2001
1000876;bc2001
1000877;bc2001
1000878;bc2001
1000879;bc2001
1000880;bc2001
1000881;bc2001
1000882;bc2001
1000883;bc2001
1000884;bc2001
1000885;bc2001
1000886;bc2001
1000887;bc2001
1000888;bc2001
1000889;bc2001
1000890;bc2001
1000891;bc2001
1000892;bc2001
1000893;bc2001
1000894;bc2001
1000895;bc2001
1000896;bc2001
1000897;bc2001
1000898;bc2001
1000899;bc2001
1000900;bc2001
1000901;bc2001
1000902;bc2001
1000903;bc2001
1000904;bc2001
1000905;bc2001
1000906;bc2001
1000907;bc2001
1000908;bc2001
1000909;bc2001
1000910;bc2001
1000911;bc2001
1000912;bc2001
1000913;bc2001
1000914;bc2001
1000915;bc2001
1000916;bc2001
1000917;bc2001
1000918;bc2001
1000919;bc2001
1000920;bc2001
1000921;bc2001
1000922;bc2001
1000923;bc2001
1000924;bc2001
1000925;bc2001
1000926;bc2001
1000927;bc2001
1000928;bc2001
1000929;bc2001
1000930;bc2001
1000931;bc2001
1000932;bc2001
1000933;bc2001
1000934;bc2001
1000935;bc2001
1000936;bc2001
1000937;bc2001
1000938;bc2001
1000939;bc2001
1000940;bc2001
1000941;bc2001
1000942;bc2001
1000943;bc2001
1000944;bc2001
1000945;bc2001
1000946;bc2001
1000947;bc2001
1000948;bc2001
1000949;bc2001
1000950;bc2001
1000951;bc2001
1000952;bc2001
1000953;bc2001
1000954;bc2001
1000955;bc2001
1000956;bc2001
1000957;bc2001
1000958;bc2001
1000959;bc2001
1000960;bc2001
1000961;bc2001
1000962;bc2001
1000963;bc2001
1000964;bc2001
1000965;bc2001
1000966;bc2001
1000967;bc2001
1000968;bc2001
1000969;bc2001
1000970;bc2001
1000971;bc2001
1000972;bc2001
1000973;bc2001
1000974;bc2001
1000975;bc2001
1000976;bc2001
1000977;bc2001
1000978;bc2001
1000979;bc2001
1000980;bc2001
1000981;bc2001
1000982;bc2001
1000983;bc2001
1000984;bc2001
1000985;bc2001
1000986;bc2001
1000987;bc2001
1000988;bc2001
1000989;bc2001
1000990;bc2001
1000991;bc2001
1000992;bc2001
1000993;bc2001
1000994;bc2001
1000995;bc2001
1000996;bc2001
1000997;bc2001
1000998;bc2001
1000999;bc2001
1001000;bc2001
1001001;bc2001
1001002;bc2001
1001003;bc2001
1001004;bc2001
1001005;bc2001
1001006;bc2001
1001007;bc2001
1001008;bc2001
1001009;bc2001
1001010;bc2001
1001011;bc2001
1001012;bc2001
1001013;bc2001
1001014;bc2001
1001015;bc2001
1001016;bc2001
1001017;bc2001
1001018;bc2001
1001019;bc2001
1001020;bc2001
1001021;bc2001
1001022;bc2001
1001023;bc2001
1001024;bc2001
1001025;bc2001
1001026;bc2001
1001027;bc2001
1001028;bc2001
1001029;bc2001
1001030;bc2001
1001031;bc2001
1001032;bc2001
1001033;bc2001
1001034;bc2001
1001035;bc2001
1001036;bc2001
1001037;bc2001
1001038;bc2001
1001039;bc2001
1001040;bc2001
