Source;Target;Type;Weight;CommLink
10001;2106;Directed;0.001;11
10001;2107;Directed;0.001;11
10001;2108;Directed;0.001;11
10001;2109;Directed;0.001;11
10001;2110;Directed;0.001;11
10001;2111;Directed;0.001;11
10001;2112;Directed;0.001;11
10001;2113;Directed;0.001;11
10001;2114;Directed;0.001;11
10001;2115;Directed;0.001;11
10001;2116;Directed;0.001;11
10001;2117;Directed;0.001;11
10001;2118;Directed;0.001;11
10001;2119;Directed;0.001;11
10001;2120;Directed;0.001;11
10001;2121;Directed;0.001;11
10001;2122;Directed;0.001;11
10001;2123;Directed;0.001;11
10001;2124;Directed;0.001;11
10001;2125;Directed;0.001;11
10001;2126;Directed;0.001;11
10001;2127;Directed;0.001;11
10001;2128;Directed;0.001;11
10001;2129;Directed;0.001;11
10001;2130;Directed;0.001;11
10001;2131;Directed;0.001;11
10001;2132;Directed;0.001;11
10001;2133;Directed;0.001;11
10001;2134;Directed;0.001;11
10001;2135;Directed;0.001;11
10001;2137;Directed;0.001;11
10001;2138;Directed;0.001;11
10001;2139;Directed;0.001;11
10001;2140;Directed;0.001;11
10001;2141;Directed;0.001;11
10001;2142;Directed;0.001;11
10001;2143;Directed;0.001;11
10001;2163;Directed;0.001;11
10001;2164;Directed;0.001;11
10001;2165;Directed;0.001;11
10001;2166;Directed;0.001;11
10001;2167;Directed;0.001;11
10001;2168;Directed;0.001;11
10001;2169;Directed;0.001;11
10001;2170;Directed;0.001;11
10001;2171;Directed;0.001;11
10001;2172;Directed;0.001;11
10001;2173;Directed;0.001;11
10001;2174;Directed;0.001;11
10001;2175;Directed;0.001;11
10001;2228;Directed;0.001;11
10001;2231;Directed;0.001;11
10001;2280;Directed;0.001;11
10001;2281;Directed;0.001;11
10001;2282;Directed;0.001;11
10001;2560;Directed;0.001;11
10001;2561;Directed;0.001;11
10001;2562;Directed;0.001;11
10001;2563;Directed;0.001;11
10001;2564;Directed;0.001;11
10001;2565;Directed;0.001;11
10001;2566;Directed;0.001;11
10001;2567;Directed;0.001;11
10001;2568;Directed;0.001;11
10001;2569;Directed;0.001;11
10001;2570;Directed;0.001;11
10001;2571;Directed;0.001;11
10001;2572;Directed;0.001;11
10001;2573;Directed;0.001;11
10001;2574;Directed;0.001;11
10001;2575;Directed;0.001;11
10001;2576;Directed;0.001;11
10001;2577;Directed;0.001;11
10001;2578;Directed;0.001;11
10001;2579;Directed;0.001;11
10001;2580;Directed;0.001;11
10001;2581;Directed;0.001;11
10001;2582;Directed;0.001;11
10001;2583;Directed;0.001;11
10001;2584;Directed;0.001;11
10001;2585;Directed;0.001;11
10001;2586;Directed;0.001;11
10001;2587;Directed;0.001;11
10001;2588;Directed;0.001;11
10001;2589;Directed;0.001;11
10001;2590;Directed;0.001;11
10001;2591;Directed;0.001;11
10001;2592;Directed;0.001;11
10001;2593;Directed;0.001;11
10001;2594;Directed;0.001;11
10001;2595;Directed;0.001;11
10001;2596;Directed;0.001;11
10001;2597;Directed;0.001;11
10001;2598;Directed;0.001;11
10001;2599;Directed;0.001;11
10001;2601;Directed;0.001;11
10001;2602;Directed;0.001;11
10001;2603;Directed;0.001;11
10001;2624;Directed;0.001;11
10001;2625;Directed;0.001;11
10001;2626;Directed;0.001;11
10001;2627;Directed;0.001;11
10001;2628;Directed;0.001;11
10001;2629;Directed;0.001;11
10001;2630;Directed;0.001;11
10001;2631;Directed;0.001;11
10001;2632;Directed;0.001;11
10001;2633;Directed;0.001;11
10001;2634;Directed;0.001;11
10001;2635;Directed;0.001;11
10001;2636;Directed;0.001;11
10001;2637;Directed;0.001;11
10001;2638;Directed;0.001;11
10001;2639;Directed;0.001;11
10001;2640;Directed;0.001;11
10001;2641;Directed;0.001;11
10001;2642;Directed;0.001;11
10001;2643;Directed;0.001;11
10001;2644;Directed;0.001;11
10001;2645;Directed;0.001;11
10001;2646;Directed;0.001;11
10001;2647;Directed;0.001;11
10001;2648;Directed;0.001;11
10001;2649;Directed;0.001;11
10001;2650;Directed;0.001;11
10001;2651;Directed;0.001;11
10001;2652;Directed;0.001;11
10001;2653;Directed;0.001;11
10001;2654;Directed;0.001;11
10001;2655;Directed;0.001;11
10001;2656;Directed;0.001;11
10001;2657;Directed;0.001;11
10001;2658;Directed;0.001;11
10001;2659;Directed;0.001;11
10001;2660;Directed;0.001;11
10001;2661;Directed;0.001;11
10001;2662;Directed;0.001;11
10001;2663;Directed;0.001;11
10001;2664;Directed;0.001;11
10001;2665;Directed;0.001;11
10001;2666;Directed;0.001;11
10001;2667;Directed;0.001;11
10001;2668;Directed;0.001;11
10001;2669;Directed;0.001;11
10001;2670;Directed;0.001;11
10001;2671;Directed;0.001;11
10001;2672;Directed;0.001;11
10001;2673;Directed;0.001;11
10001;2674;Directed;0.001;11
10001;2675;Directed;0.001;11
10001;2676;Directed;0.001;11
10001;2677;Directed;0.001;11
10001;2678;Directed;0.001;11
10001;2679;Directed;0.001;11
10001;2680;Directed;0.001;11
10001;2681;Directed;0.001;11
10001;2682;Directed;0.001;11
10001;2683;Directed;0.001;11
10001;2684;Directed;0.001;11
10001;2685;Directed;0.001;11
10001;2686;Directed;0.001;11
10001;2687;Directed;0.001;11
10001;2816;Directed;0.001;11
10001;2817;Directed;0.001;11
10001;2818;Directed;0.001;11
10001;2819;Directed;0.001;11
10001;2820;Directed;0.001;11
10001;2821;Directed;0.001;11
10001;2822;Directed;0.001;11
10001;2823;Directed;0.001;11
10001;2824;Directed;0.001;11
10001;2825;Directed;0.001;11
10001;2826;Directed;0.001;11
10001;2827;Directed;0.001;11
10001;2828;Directed;0.001;11
10001;2829;Directed;0.001;11
10001;2830;Directed;0.001;11
