2001;447;423;Satoshi Takano
2001;432;424;Alaa R. Alameldeen
2001;433;425;Jeffrey F. Naughton
2001;434;426;Qiong Luo
2001;435;427;Ilaria Bartolini
2001;436;428;Paolo Ciaccia
2001;437;429;Florian Waas
2001;438;430;Anindya Datta
2001;439;431;Kaushik Dutta
2001;425;432;Subbu N. Subramanian
2001;424;433;Srinivasa Narayanan
2001;427;434;Jens-Peter Dittrich
2001;426;435;Björn Blohsfeld
2001;429;436;Tobias Schäfer
2001;428;437;Jürgen Krämer
2001;431;438;Ashraf Aboulnaga
2001;430;439;Martin Schneider 0006
2001;417;440;Nipun Agarwal
2001;416;441;Timothy Chorma
2001;419;442;Sophie Cluet
2001;418;443;Angela Bonifati
2001;421;444;Dan Vodislav
2001;420;445;Pierangelo Veltri
2001;423;446;Bernhard Seeger
2001;422;447;Jochen Van den Bercken
2001;478;448;Jeffrey Scott Vitter
2001;479;449;Christian S. Jensen
2001;476;450;John R. Smith
2001;477;451;Chung-Sheng Li
2001;474;452;Apostol Natsev
2001;475;453;Yuan-Chi Chang
2001;472;454;Sergio Flesca
2001;473;455;Georg Gottlob
2001;470;456;Minos N. Garofalakis
2001;471;457;Robert Baumgartner
2001;468;458;Sorana Rabinovici
2001;469;459;C. Mohan
2001;466;460;Serge Novaretti
2001;467;461;John Catozzi
2001;464;462;Sudhanva Gurumurthi
2001;465;463;Frank Leymann
2001;463;464;Mary Jane Irwin
2001;462;465;Mahmut T. Kandemir
2001;461;466;Narayanan Vijaykrishnan
2001;460;467;Georg Lausen
2001;459;468;Pedro José Marrón
2001;458;469;John Wilkes
2001;457;470;Jim Gray
2001;456;471;Bruce Gordon
2001;455;472;David J. DeWitt
2001;454;473;Elizabeth A. M. Shriver
2001;453;474;Wee Teck Ng
2001;452;475;Bruce Hillyer
2001;451;476;Eran Gabber
2001;450;477;Banu Özden
2001;449;478;Joseph M. Hellerstein
2001;448;479;Vijayshankar Raman
2001;508;480;Brian F. Cooper
2001;509;481;Neal Sample
2001;510;482;Gísli R. Hjaltason
2001;511;483;Moshe Shadmon
2001;504;484;Mohammad R. Kolahdouzan
2001;505;485;Maria Muslea
2001;506;486;Cyrus Shahabi
2001;507;487;Snehal Thakkar
2001;500;488;Rivka Ladin
2001;501;489;Demet Aksoy
2001;502;490;José Luis Ambite
2001;503;491;Craig A. Knoblock
2001;496;492;Chin-Wan Chung
2001;497;493;Ju-Hong Lee
2001;498;494;Seok-Lyong Lee
2001;499;495;David W. Adler
2001;493;496;Yoko Maeda
2001;492;497;Laurent Mignet
2001;495;498;Seok-Ju Chun
2001;494;499;Motomichi Toyama
2001;489;500;Amélie Marian
2001;488;501;Shojiro Nishio
2001;491;502;Gregory Cobena
2001;490;503;Serge Abiteboul
2001;485;504;Masahiko Tsukamoto
2001;484;505;Rie Sawai
2001;487;506;Tsutomu Terada
2001;486;507;Yin-Huei Loh
2001;481;508;Valter Crescenzi
2001;480;509;Vadim Draluk
2001;483;510;Paolo Merialdo
2001;482;511;Giansalvatore Mecca
2001;550;512;Amihood Amir
2001;551;513;Reuven Kashi
2001;548;514;Carmen Riedler
2001;549;515;Roland Tusch
2001;546;516;Christian Hofbauer
2001;547;517;Margit Lang
2001;544;518;Alexander Bachlechner
2001;545;519;Christian Hanin
2001;558;520;Eugene J. Shekita
2001;559;521;Catalina Fan
2001;556;522;Jayavel Shanmugasundaram
2001;557;523;Jerry Kiernan
2001;554;524;Johannes Klein
2001;555;525;Gerhard Weikum
2001;552;526;Nathan S. Netanyahu
2001;553;527;Shalom Tsur
2001;567;528;Jason Chionh
2001;566;529;Lidan Shou
2001;565;530;Ke Wang
2001;564;531;Joyce M. W. Lam
2001;563;532;Guozhu Dong
2001;562;533;Dan Suciu
2001;561;534;Rada Chirkova
2001;560;535;John E. Funderburk
2001;575;536;Yusuf Akca
