id;timeset;commclass
1006216;<[2003.0, 2004.0, 2007.0, 2008.0, 2009.0, 2010.0]>;"<[2003.0, 1]; [2004.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]; [2010.0, 5]>"
1006219;<[2003.0, 2004.0, 2005.0, 2007.0, 2008.0, 2010.0]>;"<[2003.0, 1]; [2004.0, 0]; [2005.0, 1]; [2007.0, 1]; [2008.0, 3]; [2010.0, 3]>"
1006242;<[2003.0, 2006.0, 2008.0, 2009.0, 2010.0]>;"<[2003.0, 3]; [2006.0, 1]; [2008.0, 1]; [2009.0, 5]; [2010.0, 1]>"
1006244;<[2003.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0, 2010.0]>;"<[2003.0, 1]; [2005.0, 1]; [2006.0, 1]; [2007.0, 5]; [2008.0, 1]; [2009.0, 5]; [2010.0, 1]>"
1006249;<[2003.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0, 2010.0]>;"<[2003.0, 3]; [2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2008.0, 2]; [2009.0, 3]; [2010.0, 1]>"
1006251;<[2003.0, 2004.0, 2007.0, 2008.0, 2010.0]>;"<[2003.0, 3]; [2004.0, 1]; [2007.0, 1]; [2008.0, 5]; [2010.0, 5]>"
1006253;<[2003.0, 2007.0, 2009.0, 2010.0]>;"<[2003.0, 1]; [2007.0, 0]; [2009.0, 5]; [2010.0, 5]>"
1006259;<[2003.0, 2009.0, 2010.0]>;"<[2003.0, 1]; [2009.0, 5]; [2010.0, 1]>"
1006263;<[2003.0, 2004.0, 2005.0, 2008.0, 2009.0, 2010.0]>;"<[2003.0, 1]; [2004.0, 1]; [2005.0, 1]; [2008.0, 3]; [2009.0, 1]; [2010.0, 1]>"
1006264;<[2003.0, 2004.0, 2005.0, 2007.0, 2009.0, 2010.0]>;"<[2003.0, 1]; [2004.0, 3]; [2005.0, 1]; [2007.0, 1]; [2009.0, 5]; [2010.0, 1]>"
1006282;<[2003.0, 2004.0, 2005.0, 2008.0, 2009.0, 2010.0]>;"<[2003.0, 1]; [2004.0, 1]; [2005.0, 1]; [2008.0, 5]; [2009.0, 1]; [2010.0, 1]>"
1006283;<[2003.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0, 2010.0]>;"<[2003.0, 5]; [2004.0, 1]; [2005.0, 3]; [2006.0, 1]; [2007.0, 1]; [2008.0, 3]; [2009.0, 1]; [2010.0, 1]>"
1006286;<[2003.0, 2004.0, 2006.0, 2010.0]>;"<[2003.0, 1]; [2004.0, 1]; [2006.0, 0]; [2010.0, 1]>"
1006300;<[2003.0, 2004.0, 2005.0, 2007.0, 2008.0, 2009.0, 2010.0]>;"<[2003.0, 1]; [2004.0, 1]; [2005.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]; [2010.0, 1]>"
1006302;<[2003.0, 2009.0, 2010.0]>;"<[2003.0, 1]; [2009.0, 5]; [2010.0, 1]>"
1006309;<[2003.0, 2005.0, 2007.0, 2008.0, 2009.0, 2010.0]>;"<[2003.0, 1]; [2005.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]; [2010.0, 1]>"
1006311;<[2003.0, 2007.0, 2010.0]>;"<[2003.0, 1]; [2007.0, 5]; [2010.0, 1]>"
1006320;<[2003.0, 2004.0, 2005.0, 2007.0, 2010.0]>;"<[2003.0, 1]; [2004.0, 1]; [2005.0, 1]; [2007.0, 1]; [2010.0, 1]>"
1006322;<[2003.0, 2004.0, 2005.0, 2007.0, 2009.0, 2010.0]>;"<[2003.0, 1]; [2004.0, 1]; [2005.0, 3]; [2007.0, 1]; [2009.0, 5]; [2010.0, 1]>"
1006324;<[2003.0, 2005.0, 2007.0, 2008.0, 2009.0, 2010.0]>;"<[2003.0, 1]; [2005.0, 1]; [2007.0, 1]; [2008.0, 3]; [2009.0, 1]; [2010.0, 1]>"
1006337;<[2003.0, 2010.0]>;"<[2003.0, 1]; [2010.0, 1]>"
1006341;<[2003.0, 2004.0, 2005.0, 2007.0, 2008.0, 2009.0, 2010.0]>;"<[2003.0, 1]; [2004.0, 4]; [2005.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]; [2010.0, 1]>"
1006370;<[2003.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0, 2010.0]>;"<[2003.0, 1]; [2004.0, 1]; [2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2008.0, 1]; [2010.0, 1]>"
1006375;<[2003.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0, 2010.0]>;"<[2003.0, 1]; [2004.0, 1]; [2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]; [2010.0, 4]>"
1006377;<[2003.0, 2004.0, 2007.0, 2008.0, 2009.0, 2010.0]>;"<[2003.0, 1]; [2004.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]; [2010.0, 5]>"
1006390;<[2003.0, 2004.0, 2009.0, 2010.0]>;"<[2003.0, 1]; [2004.0, 1]; [2009.0, 1]; [2010.0, 1]>"
1006402;<[2003.0, 2005.0, 2010.0]>;"<[2003.0, 1]; [2005.0, 1]; [2010.0, 3]>"
